,text,cnpj,count
2563,../data/Buscas de palavras chaves/EPI/1431.txt,05.063.395/0001-30,1
2569,../data/Buscas de palavras chaves/EPI/1431.txt,21.993.497/0001-70,1
2581,../data/Buscas de palavras chaves/EPI/1433.txt,01.367.217/0001-41,1
2697,../data/Buscas de palavras chaves/EPI/1451.txt,33.871.336/0002-62,1
2729,../data/Buscas de palavras chaves/EPI/1456.txt,27.353.630/0004-04,1
2870,../data/Buscas de palavras chaves/EPI/1511.txt,11.957.593/0001-10,1
2895,../data/Buscas de palavras chaves/EPI/1511.txt,27.708.186/0001-33,1
2928,../data/Buscas de palavras chaves/EPI/1531.txt,05.400.066/0001-70,1
3162,../data/Buscas de palavras chaves/EPI/1607.txt,51.260.743/0001-34,1
3308,../data/Buscas de palavras chaves/EPI/1643.txt,12.264.563/0001-03,1
3429,../data/Buscas de palavras chaves/EPI/1653.txt,09.316.084/0002-60,1
3463,../data/Buscas de palavras chaves/EPI/1668.txt,73.937.724/0001-20,1
3477,../data/Buscas de palavras chaves/EPI/1687.txt,02.881.887/0001-64,1
3536,../data/Buscas de palavras chaves/EPI/1687.txt,51.260.743/0001-34,1
3537,../data/Buscas de palavras chaves/EPI/1687.txt,52.488.629/0008-66,1
3562,../data/Buscas de palavras chaves/EPI/169.txt,07.377.498/0001-64,1
3624,../data/Buscas de palavras chaves/EPI/169.txt,67.729.178/0001-91,1
3671,../data/Buscas de palavras chaves/EPI/1700.txt,10.942.931/0001-36,1
3801,../data/Buscas de palavras chaves/EPI/1719.txt,24.506.677/0001-57,1
4075,../data/Buscas de palavras chaves/EPI/1870.txt,00.057.747/9891-72,1
4213,../data/Buscas de palavras chaves/EPI/189.txt,02.091.365/0065-13,1
4253,../data/Buscas de palavras chaves/EPI/189.txt,13.405.319/0031-49,1
4297,../data/Buscas de palavras chaves/EPI/189.txt,73.849.952/0009-24,1
4429,../data/Buscas de palavras chaves/EPI/1943.txt,08.849.921/0001-56,1
4438,../data/Buscas de palavras chaves/EPI/1943.txt,10.571.872/0001-53,1
4450,../data/Buscas de palavras chaves/EPI/1943.txt,14.889.534/0001-06,1
4504,../data/Buscas de palavras chaves/EPI/1947.txt,15.790.788/0001-19,1
4551,../data/Buscas de palavras chaves/EPI/1959.txt,27.165.345/0001-90,1
4568,../data/Buscas de palavras chaves/EPI/1959.txt,39.315.211/0001-94,1
4605,../data/Buscas de palavras chaves/EPI/1961.txt,27.165.182/0001-21,1
4621,../data/Buscas de palavras chaves/EPI/1961.txt,39.315.211/0001-94,2
4647,../data/Buscas de palavras chaves/EPI/1979.txt,15.362.151/0001-57,1
4659,../data/Buscas de palavras chaves/EPI/1979.txt,21.993.497/0001-70,1
4691,../data/Buscas de palavras chaves/EPI/1986.txt,11.615.369/0001-35,1
4718,../data/Buscas de palavras chaves/EPI/1987.txt,14.884.711/0001-45,2
